task,seed,fold,method,rank,feature,dataset,selected
motif_apc_t_contact,0,0,lasso,1,point-pattern::T cell_L_r10,bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,2,point-pattern::T cell_L_r20,bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,3,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,4,point-pattern::Tumor (Hypoxic)_K_r20,bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,5,point-pattern::T cell_K_r10,bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,6,point-pattern::Tumor (CK7+)_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,7,point-pattern::Tumor (CK+ HR+)_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,8,density::tissue_density::B cell,bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,9,composition::Tumor (Basal CK),bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,10,point-pattern::T cell_K_r20,bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,11,point-pattern::B cell_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,12,density::tissue_density::Tumor (CK7+),bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,13,composition::T cell,bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,14,density::tumor_density::Tumor (Myoepithelial),bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,15,density::tumor_density::Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,16,point-pattern::Macrophage_L_r200,bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,17,density::tissue_density::Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,18,point-pattern::Stromal cells_L_r50,bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,19,density::tumor_density::Tumor (Proliferative),bc_jackson2020,True
motif_apc_t_contact,0,0,lasso,20,density::tissue_density::Tumor (CK7+ CK hi Ecadh hi),bc_jackson2020,True
motif_apc_t_contact,0,0,shap,1,point-pattern::T cell_L_r10,bc_jackson2020,True
motif_apc_t_contact,0,0,shap,2,point-pattern::T cell_L_r20,bc_jackson2020,True
motif_apc_t_contact,0,0,shap,3,density::tissue_density::Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,0,0,shap,4,density::tumor_density::Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,0,0,shap,5,point-pattern::Tumor (Hypoxic)_K_r20,bc_jackson2020,True
motif_apc_t_contact,0,0,shap,6,point-pattern::Macrophage_L_r200,bc_jackson2020,True
motif_apc_t_contact,0,0,shap,7,point-pattern::Tumor (CK+ HR+)_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,0,shap,8,point-pattern::Macrophage_L_r20,bc_jackson2020,True
motif_apc_t_contact,0,0,shap,9,composition::T cell,bc_jackson2020,True
motif_apc_t_contact,0,0,shap,10,point-pattern::Tumor (CK7+)_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,0,shap,11,point-pattern::T cell_K_r10,bc_jackson2020,True
motif_apc_t_contact,0,0,shap,12,composition::Tumor (Basal CK),bc_jackson2020,True
motif_apc_t_contact,0,0,shap,13,composition::Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,0,0,shap,14,point-pattern::B cell_K_r200,bc_jackson2020,True
motif_apc_t_contact,0,0,shap,15,point-pattern::Tumor (CK+ HR+)_L_r10,bc_jackson2020,True
motif_apc_t_contact,0,0,shap,16,density::tumor_density::Stromal cells,bc_jackson2020,True
motif_apc_t_contact,0,0,shap,17,point-pattern::B cell_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,0,shap,18,point-pattern::Tumor (CK lo HR lo)_L_r20,bc_jackson2020,True
motif_apc_t_contact,0,0,shap,19,point-pattern::Stromal cells_L_r50,bc_jackson2020,True
motif_apc_t_contact,0,0,shap,20,point-pattern::Endothelial_K_r200,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,1,point-pattern::T cell_L_r10,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,2,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,3,point-pattern::T cell_L_r20,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,4,point-pattern::Tumor (CK+ HR+)_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,5,point-pattern::Tumor (Myoepithelial)_L_r100,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,6,composition::T cell,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,7,point-pattern::Tumor (Myoepithelial)_K_r200,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,8,density::tumor_density::Tumor (Proliferative),bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,9,point-pattern::B cell_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,10,density::tumor_density::Endothelial,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,11,density::tissue_density::Stromal cells,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,12,point-pattern::Tumor (CK7+)_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,13,point-pattern::T cell_L_r50,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,14,point-pattern::Tumor (Myoepithelial)_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,15,density::tissue_density::Tumor (Proliferative),bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,16,point-pattern::Tumor (CK+ HR+)_L_r50,bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,17,density::tissue_density::Tumor (CK+ HR hi),bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,18,density::tissue_density::Tumor (Hypoxic),bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,19,composition::Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,0,1,lasso,20,point-pattern::Macrophage_L_r200,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,1,point-pattern::T cell_L_r10,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,2,point-pattern::Tumor (CK+ HR+)_K_r50,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,3,point-pattern::T cell_L_r20,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,4,density::tissue_density::Stromal cells,bc_jackson2020,True
motif_apc_t_contact,0,1,shap,5,composition::T cell,bc_jackson2020,True
